CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
三门峡,124673-2,253787-0,0,18.14,3.52,58,0
三门峡,124673-2,253794-1,0,20.8,3.7,90,0
三门峡,124673-2,253918-1,0,23.82,4.2,56,0
三门峡,124674-0,253789-1,99,3.97,1.98,122,12078
三门峡,124674-0,259595-0,98,2.39,3.1,674,66052
三门峡,124674-0,124815-1,94,2.82,3.88,628,59032
三门峡,124674-0,15582-128,90,3.7,4.16,84588,7612920
三门峡,124674-0,15336-129,88,3.97,4.29,35303,3106664
三门峡,124674-0,47440-1,86,3.05,5.42,82,7052
三门峡,124674-0,47440-2,85,4.06,4.8,44460,3779100
三门峡,124674-0,15290-129,84,4.38,4.72,3200,268800
三门峡,124674-0,15297-128,84,3.48,5.49,104,8736
三门峡,124674-0,15313-129,82,5.45,3.92,768,62976
三门峡,124674-0,273933-129,80,4.61,5.13,6033,482640
三门峡,124674-0,259598-0,79,4.88,5.1,4379,345941
三门峡,124674-0,15315-129,79,4.92,4.98,3064,242056
三门峡,124674-0,253911-1,78,7.19,2.38,118,9204
三门峡,124674-0,15429-129,77,5.3,4.91,29002,2233154
三门峡,124674-0,7203-128,76,5.74,4.71,362,27512
三门峡,124674-0,259598-1,76,5.18,5.34,10758,817608
三门峡,124674-0,253789-2,75,5.67,4.97,39748,2981100
三门峡,124674-0,15472-128,75,5.72,4.91,31892,2391900
