ASSIGN_ID,EARFCN,SECTOR_ID,SECTOR_NAME,ENODEB_ID,PCI,PSS,SSS,LONGITUDE,LATITUDE,STYLE,OPT_DATETIME
10,38400,253936-0,三门峡义马银杏路-HLHF-1,253936,27,0,9,111.85749,34.75748,宏站,2017/1/18 11:13
10,38400,253936-1,三门峡义马银杏路-HLHF-2,253936,29,2,9,111.85749,34.75748,宏站,2017/1/18 11:13
10,38400,253936-2,三门峡义马银杏路-HLHF-3,253936,28,1,9,111.85749,34.75748,宏站,2017/1/18 11:13
10,38400,253937-0,三门峡义马跃进煤矿-HLHF-1,253937,22,1,7,111.88573,34.72699,宏站,2017/1/18 11:13
10,38400,253937-1,三门峡义马跃进煤矿-HLHF-2,253937,21,0,7,111.88573,34.72699,宏站,2017/1/18 11:13
10,38400,253937-2,三门峡义马跃进煤矿-HLHF-3,253937,23,2,7,111.88573,34.72699,宏站,2017/1/18 11:13
10,38400,253938-0,三门峡义马跃进小学-HLHF-1,253938,25,1,8,111.87944,34.72636,宏站,2017/1/18 11:13
10,38400,253938-1,三门峡义马跃进小学-HLHF-2,253938,26,2,8,111.87944,34.72636,宏站,2017/1/18 11:13
10,38400,253938-2,三门峡义马跃进小学-HLHF-3,253938,24,0,8,111.87944,34.72636,宏站,2017/1/18 11:13
10,38400,253939-0,三门峡义马振兴化工厂-HLHF-1,253939,72,0,24,111.83501,34.74751,宏站,2017/1/18 11:13
10,38400,253939-1,三门峡义马振兴化工厂-HLHF-2,253939,74,2,24,111.83501,34.74751,宏站,2017/1/18 11:13
10,38400,253939-2,三门峡义马振兴化工厂-HLHF-3,253939,73,1,24,111.83501,34.74751,宏站,2017/1/18 11:13
10,38400,253940-0,三门峡义马质检局-HLHF-1,253940,119,2,39,111.85601,34.75231,宏站,2017/1/18 11:13
10,38400,253940-1,三门峡义马质检局-HLHF-2,253940,117,0,39,111.85601,34.75231,宏站,2017/1/18 11:13
10,38400,253940-2,三门峡义马质检局-HLHF-3,253940,118,1,39,111.85601,34.75231,宏站,2017/1/18 11:13
10,38400,253941-0,三门峡义马中澜化工-HLHF-1,253941,120,0,40,111.84907,34.74551,宏站,2017/1/18 11:13
10,38400,253941-1,三门峡义马中澜化工-HLHF-2,253941,121,1,40,111.84907,34.74551,宏站,2017/1/18 11:13
10,38400,253941-2,三门峡义马中澜化工-HLHF-3,253941,122,2,40,111.84907,34.74551,宏站,2017/1/18 11:13
10,38400,253949-0,三门峡义马常村-HLHF-1,253949,114,0,38,111.92201,34.72811,宏站,2017/1/18 11:13
10,38400,253949-1,三门峡义马常村-HLHF-2,253949,115,1,38,111.92201,34.72811,宏站,2017/1/18 11:13
10,38400,253949-2,三门峡义马常村-HLHF-3,253949,116,2,38,111.92201,34.72811,宏站,2017/1/18 11:13
10,38400,253950-0,三门峡义马予西宾馆-HLHF-1,253950,109,1,36,111.90974,34.71584,宏站,2017/1/18 11:13
10,38400,253950-1,三门峡义马予西宾馆-HLHF-2,253950,110,2,36,111.90974,34.71584,宏站,2017/1/18 11:13
10,38400,253950-2,三门峡义马予西宾馆-HLHF-3,253950,108,0,36,111.90974,34.71584,宏站,2017/1/18 11:13
